timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3
2026-08-18T10:37:41.594066,302,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.624344,303,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.657633,304,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.701319,305,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.765157,306,0x46,PDSCH,6,900,193,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.823165,307,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.863132,308,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,63
2026-08-18T10:37:41.863186,308,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.898775,309,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.8,0.0,0.0,372,,,,,,,,,,,
2026-08-18T10:37:41.933594,310,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.971587,311,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.011425,312,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.041977,313,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.069072,314,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.097457,315,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.128261,316,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.181934,317,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.8,0.0,0.0,371,,,,,,,,,,,
2026-08-18T10:37:42.182031,317,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.224745,318,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.260656,319,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.292688,320,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.352091,322,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.380848,323,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.411501,324,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.472411,326,0x46,PDSCH,6,900,193,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.501383,327,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.529646,328,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.562504,329,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.8,0.0,0.0,372,,,,,,,,,,,
2026-08-18T10:37:42.562602,329,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.607370,330,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.639573,331,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.674139,332,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.703670,333,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.9,0.0,-0.0,388,,,,,,,,,,,
2026-08-18T10:37:42.703768,333,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.729336,334,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.782239,336,0x46,PDSCH,6,900,193,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.808866,337,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.837437,338,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.863331,339,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.881175,340,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.919243,342,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.937735,343,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.9,0.0,-0.0,373,,,,,,,,,,,
2026-08-18T10:37:42.937833,343,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.959555,344,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:42.982493,345,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.015735,346,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.042028,347,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.070483,348,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.102522,349,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.9,0.0,0.0,427,,,,,,,,,,,
2026-08-18T10:37:43.102620,349,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.143363,350,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.181585,351,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.223263,352,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.264375,353,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.306752,354,0x46,PDSCH,3,450,105,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.367885,355,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.439137,356,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.496072,357,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.545732,358,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,63
2026-08-18T10:37:43.545833,358,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.677761,360,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.759120,362,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.798441,363,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.837619,364,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:43.879762,365,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
